name,bioguide_id,state,district,party,role,twitter,facebook,youtube,instagram,website
Wesley Bell,B001324,MO,1,Democrat,Representative,RepWesleyBellMO,61571538239904,,,https://bell.house.gov
Robert Onder,O000177,MO,3,Republican,Representative,RepBobOnder,RepBobOnder,,repbobonder,https://onder.house.gov
Kimberlyn King-Hinds,K000404,MP,0,Republican,Representative,RepKimKingHinds,61571529818077,,RepKimKingHinds,https://king-hinds.house.gov
Troy Downing,D000634,MT,2,Republican,Representative,reptroydowning,reptroydowning,,reptroydowning,https://downing.house.gov
Addison McDowell,M001240,NC,6,Republican,Representative,RepMcDowell,RepMcDowell,,repmcdowell,https://mcdowell.house.gov
Mark Harris,H001102,NC,8,Republican,Representative,RepMarkHarrisNC,RepMarkHarris,,repmarkharris,https://markharris.house.gov
Pat Harrigan,H001101,NC,10,Republican,Representative,RepPatHarrigan,RepPatHarrigan,,RepPatHarrigan,https://harrigan.house.gov
Brad Knott,K000405,NC,13,Republican,Representative,RepKnott,61571474013264,,repknott,https://knott.house.gov
Tim Moore,M001236,NC,14,Republican,Representative,RepTimMooreNC,CongressmanTimMoore,,reptimmoore,https://timmoore.house.gov
Julie Fedorchak,F000482,ND,0,Republican,Representative,RepFedorchak,RepJulieFedorchak,,RepJulieFedorchak,https://fedorchak.house.gov
Maggie Goodlander,G000604,NH,2,Democrat,Representative,RepGoodlander,61571606604866,,repgoodlander,https://goodlander.house.gov
Herbert Conaway,C001136,NJ,3,Democrat,Representative,RepHerbConaway,,,,https://conaway.house.gov
Nellie Pou,P000621,NJ,9,Democrat,Representative,caohouse,CAOHouseofReps,,housecreativeservices,https://pou.house.gov
Laura Gillen,G000602,NY,4,Democrat,Representative,RepLauraGillen,replauragillen,,replauragillen,https://gillen.house.gov
George Latimer,L000606,NY,16,Democrat,Representative,RepGLatimer,61571201977917,,repglatimer,https://latimer.house.gov
Josh Riley,R000622,NY,19,Democrat,Representative,,RepRileyNY,,RepRileyNY,https://riley.house.gov
John Mannion,M001231,NY,22,Democrat,Representative,JohnMannionNY22,CongressmanJohnMannion,,congressmannion,https://mannion.house.gov
David Taylor,T000490,OH,2,Republican,Representative,RepDaveTaylor,61571224837800,,repdavetaylor,https://taylor.house.gov
Maxine Dexter,D000635,OR,3,Democrat,Representative,RepDexterOR,RepDexterOR,,repdexteror,https://dexter.house.gov
Janelle Bynum,B001326,OR,5,Democrat,Representative,RepBynum,repbynum,,repbynum,https://bynum.house.gov
Ryan Mackenzie,M001230,PA,7,Republican,Representative,RepMackenzie,repmackenzie,,RepMackenzie,https://mackenzie.house.gov
Robert Bresnahan,B001327,PA,8,Republican,Representative,RepBresnahan,RepBresnahan,,RepBresnahan,https://bresnahan.house.gov
Pablo José Hernández Rivera,H001103,PR,0,Democrat,Representative,reppablojose,61569891687422,,reppablojose,https://hernandez.house.gov
Sheri Biggs,B001325,SC,3,Republican,Representative,repsheribiggs,RepSheriBiggs,,RepSheriBiggs,https://sheribiggs.house.gov
Craig Goldman,G000601,TX,12,Republican,Representative,RepCraigGoldman,61571449239416,,repcraiggoldman,https://craiggoldman.house.gov
Brandon Gill,G000603,TX,26,Republican,Representative,repbrandongill,RepBrandonGill,,repbrandongill,https://gill.house.gov
Julie Johnson,J000310,TX,32,Democrat,Representative,RepJulieJohnson,61569064997067,,repjuliejohnson,https://juliejohnson.house.gov
Mike Kennedy,K000403,UT,3,Republican,Representative,repmikekennedy,RepMikeKennedy,,repmikekennedy,https://mikekennedy.house.gov
John McGuire,M001239,VA,5,Republican,Representative,RepJohnMcGuire,RepJohnMcGuire,,repjohnmcguire,https://mcguire.house.gov
Eugene Vindman,V000138,VA,7,Democrat,Representative,RepVindman,CongressmanEugeneVindman,,repvindman,https://vindman.house.gov
Suhas Subramanyam,S001230,VA,10,Democrat,Representative,RepSuhas,RepSuhasSubramanyam,,repsuhas,https://subramanyam.house.gov
Michael Baumgartner,B001322,WA,5,Republican,Representative,repbaumgartner,RepBaumgartner,,repbaumgartner,https://baumgartner.house.gov
Emily Randall,R000621,WA,6,Democrat,Representative,,,,,https://randall.house.gov
Riley Moore,M001235,WV,2,Republican,Representative,RepRileyMoore,,,reprileymoore,https://rileymoore.house.gov
Jim Justice,J000312,WV,,Republican,Senator,,100044187231175,,senjimjustice,https://www.justice.senate.gov
Jon Husted,H001104,OH,,Republican,Senator,,,,,https://www.husted.senate.gov
Ashley Moody,M001244,FL,,Republican,Senator,,,,,https://www.moody.senate.gov
Jimmy Patronis,P000622,FL,1,Republican,Representative,,,,,https://patronis.house.gov
Randall Fine,F000484,FL,6,Republican,Representative,,,,,https://fine.house.gov
James Walkinshaw,W000831,VA,11,Democrat,Representative,,,,,
Adelita Grijalva,G000606,AZ,7,Democrat,Representative,,,,,https://grijalva.house.gov/
Matt Van Epps,V000139,TN,7,Republican,Representative,,,,,https://vanepps.house.gov/
Christian Menefee,M001245,TX,18,Democrat,Representative,,,,,https://menefee.house.gov/
