name,bioguide_id,state,district,party,role,twitter,facebook,youtube,instagram,website
Markwayne Mullin,M001190,OK,,Republican,Senator,SenMullin,RepMullin,,senmullin,https://www.mullin.senate.gov
Scott Perry,P000605,PA,10,Republican,Representative,RepScottPerry,repscottperry,RepScottPerry,repscottperry,https://perry.house.gov
Ted Cruz,C001098,TX,,Republican,Senator,SenTedCruz,SenatorTedCruz,sentedcruz,sentedcruz,https://www.cruz.senate.gov
Randy Weber,W000814,TX,14,Republican,Representative,TXRandy14,TXRandy14,TXRandy14,TXRandy14,https://weber.house.gov
Joaquin Castro,C001091,TX,20,Democrat,Representative,JoaquinCastrotx,326420614138023,JoaquinCastroTX,joaquincastrotx,https://castro.house.gov
Roger Williams,W000816,TX,25,Republican,Representative,RepRWilliams,RepRogerWilliams,,,https://williams.house.gov
Marc Veasey,V000131,TX,33,Democrat,Representative,RepVeasey,CongressmanMarcVeasey,marcveasey,repveasey,https://veasey.house.gov
Timothy Kaine,K000384,VA,,Democrat,Senator,,SenatorKaine,SenatorTimKaine,sentimkaine,https://www.kaine.senate.gov
Mark Pocan,P000607,WI,2,Democrat,Representative,RepMarkPocan,repmarkpocan,repmarkpocan,repmarkpocan,https://pocan.house.gov
Robin Kelly,K000385,IL,2,Democrat,Representative,RepRobinKelly,reprobinkelly,,reprobinkelly,https://robinkelly.house.gov
Jason Smith,S001195,MO,8,Republican,Representative,RepJasonSmith,repjasonsmith,RepJasonSmith,,https://jasonsmith.house.gov
Cory Booker,B001288,NJ,,Democrat,Senator,SenBooker,SenatorCoryBooker,SenCoryBooker,corybooker,https://www.booker.senate.gov
Katherine Clark,C001101,MA,5,Democrat,Representative,RepKClark,CongresswomanClark,,repkclark,https://katherineclark.house.gov
Donald Norcross,N000188,NJ,1,Democrat,Representative,DonaldNorcross,DonaldNorcrossNJ,,donald_norcross,https://norcross.house.gov
Alma Adams,A000370,NC,12,Democrat,Representative,RepAdams,CongresswomanAdams,,repadams,https://adams.house.gov
Gary Palmer,P000609,AL,6,Republican,Representative,USRepGaryPalmer,CongressmanGaryPalmer,,repgarypalmer,https://palmer.house.gov
J. Hill,H001072,AR,2,Republican,Representative,RepFrenchHill,RepFrenchHill,,repfrenchhill,https://hill.house.gov
Bruce Westerman,W000821,AR,4,Republican,Representative,RepWesterman,RepWesterman,,,https://westerman.house.gov
